DRG_Cd,DRG_Desc,HH_Cases,HH_%,ESC_Cases,ESC_%,Nat_Cases,Nat_%,Diff_vs_Nat_%,Diff_vs_ESC_%,Ratio_vs_Nat
054,NERVOUS SYSTEM NEOPLASMS WITH MCC,23.0,0.249728555917481,336.0,0.1077617311152377,5366,0.1083497342039273,0.1413788217135537,0.14196682480224332,2.304837734511297
056,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH MCC,17.0,0.18458197611292074,379.0,0.12155266694248539,8619,0.17403398417883884,0.010547991934081902,0.06302930917043535,1.060608805710284
057,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC,53.0,0.5754614549402822,988.0,0.3168708045888537,21094,0.4259279338981815,0.14953352104210071,0.25859065035142853,1.3510770464701356
064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,123.0,1.3355048859934855,4210.0,1.350228833318901,62599,1.2639927341467843,0.07151215184670123,-0.014723947325415487,1.0565763947171525
065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,186.0,2.019543973941368,4840.0,1.5522820791599716,68157,1.376219313107915,0.6433246608334531,0.46726189478139646,1.467457951436994
066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC,46.0,0.499457111834962,663.0,0.21263698728988867,9902,0.19994019159286022,0.29951692024210175,0.28682012454507333,2.4980325759215556
069,TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC,57.0,0.6188925081433224,1412.0,0.45285584623427266,20244,0.40876481908764517,0.21012768905567725,0.16603666190904975,1.514055220125543
071,OTHER CEREBROVASCULAR DISORDERS WITH CC,11.0,0.11943539630836049,873.0,0.2799880692369122,10522,0.21245916945466323,-0.09302377314630274,-0.16055267292855174,0.5621569387422786
073,CRANIAL AND PERIPHERAL NERVE DISORDERS WITH MCC,11.0,0.11943539630836049,69.0,0.022129641211164886,971,0.019606334683565672,0.09982906162479482,0.0973057550971956,6.091673851128995
074,CRANIAL AND PERIPHERAL NERVE DISORDERS WITHOUT MCC,19.0,0.2062975027144408,341.0,0.10936532830445256,5579,0.11265060885644992,0.09364689385799088,0.09693217440998825,1.8313039299887373
082,TRAUMATIC STUPOR AND COMA >1 HOUR WITH MCC,23.0,0.249728555917481,448.0,0.14368230815365027,7321,0.14782489826816095,0.10190365764932005,0.10604624776383073,1.6893538155153152
083,TRAUMATIC STUPOR AND COMA >1 HOUR WITH CC,31.0,0.33659066232356133,496.0,0.1590768411701128,7533,0.1521055810209065,0.18448508130265484,0.17751382115344852,2.212875162531333
085,TRAUMATIC STUPOR AND COMA <1 HOUR WITH MCC,13.0,0.14115092290988057,246.0,0.07889698170937046,4544,0.09175199258714975,0.04939893032273082,0.062253941200510116,1.5383962672615499
086,TRAUMATIC STUPOR AND COMA <1 HOUR WITH CC,41.0,0.4451682953311618,523.0,0.16773626599187297,8306,0.16771391954860604,0.2774543757825558,0.27743202933928884,2.6543312357692845
091,OTHER DISORDERS OF NERVOUS SYSTEM WITH MCC,29.0,0.31487513572204123,674.0,0.21616490110616132,9790,0.19767869881782482,0.11719643690421641,0.09871023461587991,1.5928632553992141
092,OTHER DISORDERS OF NERVOUS SYSTEM WITH CC,43.0,0.46688382193268185,916.0,0.29377900506415994,14722,0.29726514851849,0.16961867341419185,0.17310481686852192,1.570597240408226
100,SEIZURES WITH MCC,32.0,0.34744842562432143,1042.0,0.33418965423237407,17500,0.35335824609927835,-0.005909820474956917,0.013258771391947366,0.9832752722196371
101,SEIZURES WITHOUT MCC,48.0,0.5211726384364821,1315.0,0.4217460607635047,21467,0.4334595125150404,0.0877131259214417,0.09942657767297741,1.2023559834054818
163,MAJOR CHEST PROCEDURES WITH MCC,27.0,0.2931596091205212,627.0,0.2010910875275418,9224,0.18625008354398534,0.10690952557653585,0.0920685215929794,1.5740106181014828
164,MAJOR CHEST PROCEDURES WITH CC,39.0,0.4234527687296417,723.0,0.23188015356046685,11919,0.2406672534432742,0.18278551528636752,0.19157261516917487,1.7594947491659911
